subcategory,result_descriptions
Network & System Administration,configure maintain linux server develop backup monitor linux server automated design develop monitoring reporting script powershell server hardware maintenance manage software software science engineering linux linux linux servers scripting problemsolving analytical engineer linux
Help Desk & IT Support,monitor maintain server storage hardware ibm configure troubleshoot hardware software deployment application maintenance ticketing engineer science maintain server storage hardware ibm hardware window linux problemsolving engineer
Business/System Analyst,analyst programming database management rdbms
Network & System Administration,
Engineering - Software,science have backend frontend vue javascript laravel framework sql office developer programming sql query database management rdbms
Developer/Programmer,programming programming compile develop application application application configure application development testing server development testing report programmer net framework vuej command vbnet sql query api json architecture reporting ssrs analytical logical
Business/System Analyst,nan
Business/System Analyst,
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Help Desk & IT Support,analyze troubleshoot application software hardware server education engineeringinformation engineering window server directory window window powershell tcpip lan wan sdwan wan endpoint security endpoint management mobile device management nas backup virtualization linux administration sql db path
Business/System Analyst,analyze management development design development design manage software development design analysis monitor verifying software development education engineering analysis microsoft crm erp analysis analysis accounting marketing
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Business/System Analyst,design analyze creation development uat analyze development query debugging
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Team Leader,updated application maintain education accounting office word excel sqlm visio
Network & System Administration,administrator linux
Network & System Administration,
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Business/System Analyst,maintain erp application analyze systemapplication application analysis systemapplication analyze maintenance application designsflowchart visio uml developer eut uat application software troubleshooting systemapplication helpdesk education management engineering have erp microsoft nav erp analystsystem analystfunctionalapplication design creation uml flowchart systemapplication design have database sql server query sdlc maintenance warehouse accounting have application development erp
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Business/System Analyst,java springboot kotlin android nodejs rdbms oracle postgre mariadb mysql nosql mongodb drive architecture php jquery pentaho analyst software development lifecycle microsoft office
Testing & Quality Assurance,engineering development management sap data management analytical monitor backend monitoring analysis testing develop troubleshoot sap development
Network & System Administration,manage slo management cloud platform monitoring manage maintain cloud manage security maintain cloud science engineering engineer administrator server storage os window server directory ldap azure office have window admin cloud networking dns tcpip http vpc cloud monitoring zabbix grafana manage nagio virtualization vmware hyperv development cloud aws backup management redhat docker kubernete security vpn management cloud engineer administrator windows server engineer linux directory engineer directory designer aws cloud engineer
Security,manage manage directory manage domain controller server manage server storage monitor analyze report manage server os windows linux maintain analyze report manage cloud server maintain analyze report maintain manage server maintain analyze report manage science maintain server storage hardware netapp window linux redhat debian ubuntu window server redhat debian ubuntu server domain controller monitor server ram storage monitoring maintain server edit windows server directory hardware problemsolving
Network & System Administration,design configure maintain server network monitor troubleshoot hardware software network manage security backup data design maintain query science engineer financial server network windowslinux servers virtualization vmware hyperv cloud platform azure network administration vpn scripting powershell cybersecurity problemsolving manage ccna development
Business/System Analyst,software development lifecycle
Network & System Administration,maintain develop server hardware server software education engineeringinformation engineering window messaging proxy server internetworking tcpip backup have administration sql virus window server iis web server storage network san have mcp microsoft have microsoft engineer security virtualization vmware engineer engineer sql server developer
Program & Project Management,analyze analysis management management engineer engineering management scrum agile erp
Product Management & Development,architectural design application design design database design deployment developer utilization engineering engineering electrical internet have manufacturing agile scrum
Business/System Analyst,analyst
Program & Project Management,management report hiserpsapwms engineering laravel mysql css microsoft excel scrum agile
Network & System Administration,configure maintain linux server develop backup monitor linux server automated design develop monitoring reporting script powershell server hardware maintenance manage software software science engineering linux linux linux servers scripting problemsolving analytical engineer linux
Help Desk & IT Support,monitor maintain server storage hardware ibm configure troubleshoot hardware software deployment application maintenance ticketing engineer science maintain server storage hardware ibm hardware window linux problemsolving engineer
Business/System Analyst,analyst programming database management rdbms
Network & System Administration,
Engineering - Software,science have backend frontend vue javascript laravel framework sql office developer programming sql query database management rdbms
Developer/Programmer,programming programming compile develop application application application configure application development testing server development testing report programmer net framework vuej command vbnet sql query api json architecture reporting ssrs analytical logical
Business/System Analyst,nan
Business/System Analyst,
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Help Desk & IT Support,analyze troubleshoot application software hardware server education engineeringinformation engineering window server directory window window powershell tcpip lan wan sdwan wan endpoint security endpoint management mobile device management nas backup virtualization linux administration sql db path
Business/System Analyst,analyze management development design development design manage software development design analysis monitor verifying software development education engineering analysis microsoft crm erp analysis analysis accounting marketing
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Business/System Analyst,design analyze creation development uat analyze development query debugging
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Team Leader,updated application maintain education accounting office word excel sqlm visio
Network & System Administration,administrator linux
Network & System Administration,
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Business/System Analyst,maintain erp application analyze systemapplication application analysis systemapplication analyze maintenance application designsflowchart visio uml developer eut uat application software troubleshooting systemapplication helpdesk education management engineering have erp microsoft nav erp analystsystem analystfunctionalapplication design creation uml flowchart systemapplication design have database sql server query sdlc maintenance warehouse accounting have application development erp
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Business/System Analyst,java springboot kotlin android nodejs rdbms oracle postgre mariadb mysql nosql mongodb drive architecture php jquery pentaho analyst software development lifecycle microsoft office
Testing & Quality Assurance,engineering development management sap data management analytical monitor backend monitoring analysis testing develop troubleshoot sap development
Network & System Administration,manage slo management cloud platform monitoring manage maintain cloud manage security maintain cloud science engineering engineer administrator server storage os window server directory ldap azure office have window admin cloud networking dns tcpip http vpc cloud monitoring zabbix grafana manage nagio virtualization vmware hyperv development cloud aws backup management redhat docker kubernete security vpn management cloud engineer administrator windows server engineer linux directory engineer directory designer aws cloud engineer
Security,manage manage directory manage domain controller server manage server storage monitor analyze report manage server os windows linux maintain analyze report manage cloud server maintain analyze report maintain manage server maintain analyze report manage science maintain server storage hardware netapp window linux redhat debian ubuntu window server redhat debian ubuntu server domain controller monitor server ram storage monitoring maintain server edit windows server directory hardware problemsolving
Network & System Administration,design configure maintain server network monitor troubleshoot hardware software network manage security backup data design maintain query science engineer financial server network windowslinux servers virtualization vmware hyperv cloud platform azure network administration vpn scripting powershell cybersecurity problemsolving manage ccna development
Business/System Analyst,software development lifecycle
Network & System Administration,maintain develop server hardware server software education engineeringinformation engineering window messaging proxy server internetworking tcpip backup have administration sql virus window server iis web server storage network san have mcp microsoft have microsoft engineer security virtualization vmware engineer engineer sql server developer
Program & Project Management,analyze analysis management management engineer engineering management scrum agile erp
Product Management & Development,architectural design application design design database design deployment developer utilization engineering engineering electrical internet have manufacturing agile scrum
Business/System Analyst,analyst
Program & Project Management,management report hiserpsapwms engineering laravel mysql css microsoft excel scrum agile
Network & System Administration,configure maintain linux server develop backup monitor linux server automated design develop monitoring reporting script powershell server hardware maintenance manage software software science engineering linux linux linux servers scripting problemsolving analytical engineer linux
Help Desk & IT Support,monitor maintain server storage hardware ibm configure troubleshoot hardware software deployment application maintenance ticketing engineer science maintain server storage hardware ibm hardware window linux problemsolving engineer
Business/System Analyst,analyst programming database management rdbms
Network & System Administration,
Engineering - Software,science have backend frontend vue javascript laravel framework sql office developer programming sql query database management rdbms
Developer/Programmer,programming programming compile develop application application application configure application development testing server development testing report programmer net framework vuej command vbnet sql query api json architecture reporting ssrs analytical logical
Business/System Analyst,analyst programming sql query
Business/System Analyst,
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Help Desk & IT Support,analyze troubleshoot application software hardware server education engineeringinformation engineering window server directory window window powershell tcpip lan wan sdwan wan endpoint security endpoint management mobile device management nas backup virtualization linux administration sql db path
Business/System Analyst,analyze management development design development design manage software development design analysis monitor verifying software development education engineering analysis microsoft crm erp analysis analysis accounting marketing
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Business/System Analyst,design analyze creation development uat analyze development query debugging
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Team Leader,updated application maintain education accounting office word excel sqlm visio
Network & System Administration,administrator linux
Network & System Administration,
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Business/System Analyst,maintain erp application analyze systemapplication application analysis systemapplication analyze maintenance application designsflowchart visio uml developer eut uat application software troubleshooting systemapplication helpdesk education management engineering have erp microsoft nav erp analystsystem analystfunctionalapplication design creation uml flowchart systemapplication design have database sql server query sdlc maintenance warehouse accounting have application development erp
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Business/System Analyst,java springboot kotlin android nodejs rdbms oracle postgre mariadb mysql nosql mongodb drive architecture php jquery pentaho analyst software development lifecycle microsoft office
Testing & Quality Assurance,engineering development management sap data management analytical monitor backend monitoring analysis testing develop troubleshoot sap development
Network & System Administration,manage slo management cloud platform monitoring manage maintain cloud manage security maintain cloud science engineering engineer administrator server storage os window server directory ldap azure office have window admin cloud networking dns tcpip http vpc cloud monitoring zabbix grafana manage nagio virtualization vmware hyperv development cloud aws backup management redhat docker kubernete security vpn management cloud engineer administrator windows server engineer linux directory engineer directory designer aws cloud engineer
Security,manage manage directory manage domain controller server manage server storage monitor analyze report manage server os windows linux maintain analyze report manage cloud server maintain analyze report maintain manage server maintain analyze report manage science maintain server storage hardware netapp window linux redhat debian ubuntu window server redhat debian ubuntu server domain controller monitor server ram storage monitoring maintain server edit windows server directory hardware problemsolving
Network & System Administration,design configure maintain server network monitor troubleshoot hardware software network manage security backup data design maintain query science engineer financial server network windowslinux servers virtualization vmware hyperv cloud platform azure network administration vpn scripting powershell cybersecurity problemsolving manage ccna development
Business/System Analyst,software development lifecycle
Network & System Administration,maintain develop server hardware server software education engineeringinformation engineering window messaging proxy server internetworking tcpip backup have administration sql virus window server iis web server storage network san have mcp microsoft have microsoft engineer security virtualization vmware engineer engineer sql server developer
Program & Project Management,analyze analysis management management engineer engineering management scrum agile erp
Product Management & Development,architectural design application design design database design deployment developer utilization engineering engineering electrical internet have manufacturing agile scrum
Business/System Analyst,analyst
Program & Project Management,management report hiserpsapwms engineering laravel mysql css microsoft excel scrum agile
Network & System Administration,configure maintain linux server develop backup monitor linux server automated design develop monitoring reporting script powershell server hardware maintenance manage software software science engineering linux linux linux servers scripting problemsolving analytical engineer linux
Help Desk & IT Support,monitor maintain server storage hardware ibm configure troubleshoot hardware software deployment application maintenance ticketing engineer science maintain server storage hardware ibm hardware window linux problemsolving engineer
Business/System Analyst,analyst programming database management rdbms
Network & System Administration,
Engineering - Software,science have backend frontend vue javascript laravel framework sql office developer programming sql query database management rdbms
Developer/Programmer,programming programming compile develop application application application configure application development testing server development testing report programmer net framework vuej command vbnet sql query api json architecture reporting ssrs analytical logical
Business/System Analyst,nan
Business/System Analyst,
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Help Desk & IT Support,analyze troubleshoot application software hardware server education engineeringinformation engineering window server directory window window powershell tcpip lan wan sdwan wan endpoint security endpoint management mobile device management nas backup virtualization linux administration sql db path
Business/System Analyst,analyze management development design development design manage software development design analysis monitor verifying software development education engineering analysis microsoft crm erp analysis analysis accounting marketing
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Business/System Analyst,design analyze creation development uat analyze development query debugging
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Team Leader,updated application maintain education accounting office word excel sqlm visio
Network & System Administration,administrator linux
Network & System Administration,
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Business/System Analyst,maintain erp application analyze systemapplication application analysis systemapplication analyze maintenance application designsflowchart visio uml developer eut uat application software troubleshooting systemapplication helpdesk education management engineering have erp microsoft nav erp analystsystem analystfunctionalapplication design creation uml flowchart systemapplication design have database sql server query sdlc maintenance warehouse accounting have application development erp
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Business/System Analyst,java springboot kotlin android nodejs rdbms oracle postgre mariadb mysql nosql mongodb drive architecture php jquery pentaho analyst software development lifecycle microsoft office
Testing & Quality Assurance,engineering development management sap data management analytical monitor backend monitoring analysis testing develop troubleshoot sap development
Network & System Administration,manage slo management cloud platform monitoring manage maintain cloud manage security maintain cloud science engineering engineer administrator server storage os window server directory ldap azure office have window admin cloud networking dns tcpip http vpc cloud monitoring zabbix grafana manage nagio virtualization vmware hyperv development cloud aws backup management redhat docker kubernete security vpn management cloud engineer administrator windows server engineer linux directory engineer directory designer aws cloud engineer
Security,manage manage directory manage domain controller server manage server storage monitor analyze report manage server os windows linux maintain analyze report manage cloud server maintain analyze report maintain manage server maintain analyze report manage science maintain server storage hardware netapp window linux redhat debian ubuntu window server redhat debian ubuntu server domain controller monitor server ram storage monitoring maintain server edit windows server directory hardware problemsolving
Network & System Administration,design configure maintain server network monitor troubleshoot hardware software network manage security backup data design maintain query science engineer financial server network windowslinux servers virtualization vmware hyperv cloud platform azure network administration vpn scripting powershell cybersecurity problemsolving manage ccna development
Business/System Analyst,software development lifecycle
Network & System Administration,maintain develop server hardware server software education engineeringinformation engineering window messaging proxy server internetworking tcpip backup have administration sql virus window server iis web server storage network san have mcp microsoft have microsoft engineer security virtualization vmware engineer engineer sql server developer
Program & Project Management,analyze analysis management management engineer engineering management scrum agile erp
Product Management & Development,architectural design application design design database design deployment developer utilization engineering engineering electrical internet have manufacturing agile scrum
Business/System Analyst,analyst
Program & Project Management,management report hiserpsapwms engineering laravel mysql css microsoft excel scrum agile
Network & System Administration,configure maintain linux server develop backup monitor linux server automated design develop monitoring reporting script powershell server hardware maintenance manage software software science engineering linux linux linux servers scripting problemsolving analytical engineer linux
Help Desk & IT Support,monitor maintain server storage hardware ibm configure troubleshoot hardware software deployment application maintenance ticketing engineer science maintain server storage hardware ibm hardware window linux problemsolving engineer
Business/System Analyst,analyst programming database management rdbms
Network & System Administration,
Engineering - Software,science have backend frontend vue javascript laravel framework sql office developer programming sql query database management rdbms
Developer/Programmer,programming programming compile develop application application application configure application development testing server development testing report programmer net framework vuej command vbnet sql query api json architecture reporting ssrs analytical logical
Business/System Analyst,nan
Business/System Analyst,
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Help Desk & IT Support,analyze troubleshoot application software hardware server education engineeringinformation engineering window server directory window window powershell tcpip lan wan sdwan wan endpoint security endpoint management mobile device management nas backup virtualization linux administration sql db path
Business/System Analyst,analyze management development design development design manage software development design analysis monitor verifying software development education engineering analysis microsoft crm erp analysis analysis accounting marketing
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Business/System Analyst,design analyze creation development uat analyze development query debugging
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Team Leader,updated application maintain education accounting office word excel sqlm visio
Network & System Administration,administrator linux
Network & System Administration,
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Business/System Analyst,maintain erp application analyze systemapplication application analysis systemapplication analyze maintenance application designsflowchart visio uml developer eut uat application software troubleshooting systemapplication helpdesk education management engineering have erp microsoft nav erp analystsystem analystfunctionalapplication design creation uml flowchart systemapplication design have database sql server query sdlc maintenance warehouse accounting have application development erp
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Business/System Analyst,java springboot kotlin android nodejs rdbms oracle postgre mariadb mysql nosql mongodb drive architecture php jquery pentaho analyst software development lifecycle microsoft office
Testing & Quality Assurance,engineering development management sap data management analytical monitor backend monitoring analysis testing develop troubleshoot sap development
Network & System Administration,manage slo management cloud platform monitoring manage maintain cloud manage security maintain cloud science engineering engineer administrator server storage os window server directory ldap azure office have window admin cloud networking dns tcpip http vpc cloud monitoring zabbix grafana manage nagio virtualization vmware hyperv development cloud aws backup management redhat docker kubernete security vpn management cloud engineer administrator windows server engineer linux directory engineer directory designer aws cloud engineer
Security,manage manage directory manage domain controller server manage server storage monitor analyze report manage server os windows linux maintain analyze report manage cloud server maintain analyze report maintain manage server maintain analyze report manage science maintain server storage hardware netapp window linux redhat debian ubuntu window server redhat debian ubuntu server domain controller monitor server ram storage monitoring maintain server edit windows server directory hardware problemsolving
Network & System Administration,design configure maintain server network monitor troubleshoot hardware software network manage security backup data design maintain query science engineer financial server network windowslinux servers virtualization vmware hyperv cloud platform azure network administration vpn scripting powershell cybersecurity problemsolving manage ccna development
Business/System Analyst,software development lifecycle
Network & System Administration,maintain develop server hardware server software education engineeringinformation engineering window messaging proxy server internetworking tcpip backup have administration sql virus window server iis web server storage network san have mcp microsoft have microsoft engineer security virtualization vmware engineer engineer sql server developer
Program & Project Management,analyze analysis management management engineer engineering management scrum agile erp
Product Management & Development,architectural design application design design database design deployment developer utilization engineering engineering electrical internet have manufacturing agile scrum
Business/System Analyst,analyst
Program & Project Management,management report hiserpsapwms engineering laravel mysql css microsoft excel scrum agile
Network & System Administration,configure maintain linux server develop backup monitor linux server automated design develop monitoring reporting script powershell server hardware maintenance manage software software science engineering linux linux linux servers scripting problemsolving analytical engineer linux
Help Desk & IT Support,monitor maintain server storage hardware ibm configure troubleshoot hardware software deployment application maintenance ticketing engineer science maintain server storage hardware ibm hardware window linux problemsolving engineer
Business/System Analyst,analyst programming database management rdbms
Network & System Administration,
Engineering - Software,science have backend frontend vue javascript laravel framework sql office developer programming sql query database management rdbms
Developer/Programmer,programming programming compile develop application application application configure application development testing server development testing report programmer net framework vuej command vbnet sql query api json architecture reporting ssrs analytical logical
Business/System Analyst,nan
Business/System Analyst,
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Help Desk & IT Support,analyze troubleshoot application software hardware server education engineeringinformation engineering window server directory window window powershell tcpip lan wan sdwan wan endpoint security endpoint management mobile device management nas backup virtualization linux administration sql db path
Business/System Analyst,analyze management development design development design manage software development design analysis monitor verifying software development education engineering analysis microsoft crm erp analysis analysis accounting marketing
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Business/System Analyst,design analyze creation development uat analyze development query debugging
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
Team Leader,updated application maintain education accounting office word excel sqlm visio
Network & System Administration,administrator linux
Network & System Administration,
Network & System Administration,analysis design dictionary programming design application application maintain software analyst analyst analyst utilize develop application develop analyst analyst education science engineering administration postgraduate analysis programming management manufacturing analyst network application application manage application application minicomputer microcomputer have query sql develop erp application erp microsoft
Business/System Analyst,maintain erp application analyze systemapplication application analysis systemapplication analyze maintenance application designsflowchart visio uml developer eut uat application software troubleshooting systemapplication helpdesk education management engineering have erp microsoft nav erp analystsystem analystfunctionalapplication design creation uml flowchart systemapplication design have database sql server query sdlc maintenance warehouse accounting have application development erp
Engineering - Network,management platform execute testing testing deployment analyze manage develop comply science software testing app testing scripting programming python develop ui api script testing jmeter postman app testing ddms mysql database sql script unixlinux linux command shell script analytical problemsolving troubleshoot testing engineer
Business/System Analyst,java springboot kotlin android nodejs rdbms oracle postgre mariadb mysql nosql mongodb drive architecture php jquery pentaho analyst software development lifecycle microsoft office
Testing & Quality Assurance,engineering development management sap data management analytical monitor backend monitoring analysis testing develop troubleshoot sap development
Network & System Administration,manage slo management cloud platform monitoring manage maintain cloud manage security maintain cloud science engineering engineer administrator server storage os window server directory ldap azure office have window admin cloud networking dns tcpip http vpc cloud monitoring zabbix grafana manage nagio virtualization vmware hyperv development cloud aws backup management redhat docker kubernete security vpn management cloud engineer administrator windows server engineer linux directory engineer directory designer aws cloud engineer
Security,manage manage directory manage domain controller server manage server storage monitor analyze report manage server os windows linux maintain analyze report manage cloud server maintain analyze report maintain manage server maintain analyze report manage science maintain server storage hardware netapp window linux redhat debian ubuntu window server redhat debian ubuntu server domain controller monitor server ram storage monitoring maintain server edit windows server directory hardware problemsolving
Network & System Administration,design configure maintain server network monitor troubleshoot hardware software network manage security backup data design maintain query science engineer financial server network windowslinux servers virtualization vmware hyperv cloud platform azure network administration vpn scripting powershell cybersecurity problemsolving manage ccna development
Business/System Analyst,software development lifecycle
Network & System Administration,maintain develop server hardware server software education engineeringinformation engineering window messaging proxy server internetworking tcpip backup have administration sql virus window server iis web server storage network san have mcp microsoft have microsoft engineer security virtualization vmware engineer engineer sql server developer
Program & Project Management,analyze analysis management management engineer engineering management scrum agile erp
Product Management & Development,architectural design application design design database design deployment developer utilization engineering engineering electrical internet have manufacturing agile scrum
Business/System Analyst,analyst
Program & Project Management,management report hiserpsapwms engineering laravel mysql css microsoft excel scrum agile
Network & System Administration,configure maintain linux server develop backup monitor linux server automated design develop monitoring reporting script powershell server hardware maintenance manage software software science engineering linux linux linux servers scripting problemsolving analytical engineer linux
Help Desk & IT Support,monitor maintain server storage hardware ibm configure troubleshoot hardware software deployment application maintenance ticketing engineer science maintain server storage hardware ibm hardware window linux problemsolving engineer
Business/System Analyst,analyst programming database management rdbms
Network & System Administration,
Engineering - Software,science have backend frontend vue javascript laravel framework sql office developer programming sql query database management rdbms
Developer/Programmer,programming programming compile develop application application application configure application development testing server development testing report programmer net framework vuej command vbnet sql query api json architecture reporting ssrs analytical logical
Business/System Analyst,nan
Business/System Analyst,
Business/System Analyst,development analyst analyst unify uml plsql query develop design diagram diagram analytical analyst
Developer/Programmer,application erp warehouse develop software manage software fb erp develop develop desktop web development sdlc waterfall agile desktop programming web frontend backend database management design development msql azure db sql desktop web mobile frontendbackend vbnet aspnet java php android java kotlin programming
Help Desk & IT Support,analyze troubleshoot application software hardware server education engineeringinformation engineering window server directory window window powershell tcpip lan wan sdwan wan endpoint security endpoint management mobile device management nas backup virtualization linux administration sql db path
Business/System Analyst,analyze management development design development design manage software development design analysis monitor verifying software development education engineering analysis microsoft crm erp analysis analysis accounting marketing
Business/System Analyst,analyze design education informatics engineering informatics management engineering sql script programming net programming rdbms data management testing uat analysis analyst analyst path analyst
Business/System Analyst,design analyze creation development uat analyze development query debugging
Network & System Administration,design analyze management analysis application analyze design application software design design develop software software uat maintenance maintenance have erp hr software management recruitment management analytical manage erphr microsoft office web have
