job_title;company;descriptions;location;subcategory;type;salary;date_ingestion
SYSTEM & INFORMATION SECURITY ANALYST;PT Graha Layar Prima;"Manage Data Centers and availability Manage Active Directory (user, replication) Manage Domain Controller (servers) Manage Server Storage Space (monitor, analyze, report, suggest) Manage Server OS Windows & Linux (maintain, analyze, report, suggest) Manage Cloud Server (maintain, analyze, report, suggest) Create & maintain System Documentation Manage Anti-Virus Server (maintain, analyze, report, suggest) Manage data center/server related projects Provide Level 2 Support Bachelor's degree in Computer Science, Information Technology, or related fields. 3-5 years of experience in a similar role. Proven experience in maintaining server and storage infrastructure, including hardware like HPE, DELL, NETAPP Advanced knowledge of Windows and Linux operating systems (Redhat, Debian, Ubuntu). Understanding Windows Server, Redhat, Debian, Ubuntu Server Understanding Domain Controller Monitoring All Server Resources, Ram Consumption, and Storage Monitoring and maintaining antivirus server Create / Edit policy, in Windows Server Active Directory Familiar with various hardware components. Strong problem-solving skills and attention to detail. Ability to work independently and as part of a team What's your expected monthly basic salary? Role descriptions Salary insights Tools to help you prepare for jobs
";South Jakarta;Security;full time;;19/06/2024
Systems Engineer;PT Artajasa Electronic Payments;"Design, install, configure, and maintain servers and network systems. Monitor system performance and ensure the availability and reliability of IT infrastructure/Application. Troubleshoot and resolve hardware, software, and network issues in a timely manner. Implement and manage security measures to protect data and systems. Perform system backups and recovery operations to ensure data integrity. Collaborate with other IT team members to design and implement new solutions. Maintain documentation of systems, configurations, and procedures. Ensure compliance with company policies and industry standards. Provide technical support to internal users and address their IT-related queries and issues. Stay up-to-date with the latest technologies and industry trends to recommend and implement improvements. Bachelor's degree in Computer Science, Information Technology, or a related field. Proven experience as a Systems Engineer or in a similar role, preferably within the IT payment or financial services industry. Strong knowledge of server and network infrastructure, including Windows/Linux servers, virtualization (VMware, Hyper-V), and cloud platforms (AWS, Azure). Experience with network administration, including routers, switches, firewalls, and VPN. Proficiency in scripting languages ​​(eg, PowerShell, Bash) for automation. Solid understanding of cybersecurity principles and best practices. Excellent problem-solving skills and attention to detail. Strong communication and interpersonal skills. Ability to work independently and manage multiple tasks simultaneously. Relevant certifications (eg, MCSE, CCNA, RHCE) are a plus. Competitive salary Performance Bonuses Comprehensive benefits package, including private health insurance BPJS Health BPJS Employment Free Parking Opportunities for professional growth and development. A supportive and collaborative work environment. We have so many employee activities. What monthly salary do you want? Role descriptions Salary insights Tools to help you prepare for jobs
";South Tangerang;Network & System Administration;full time;;19/06/2024
Systems Analyst (WFO BANDUNG);PT Infokes Indonesia (Bandung);What's your expected monthly basic salary? How many years' experience do you have as a Product Executive? Are you available to work outside your usual hours when required? (eg weekends, evenings, public holidays) Have you worked in a role which requires a sound understanding of the software development lifecycle? How many years' experience do you have as a Product Officer?;Bandung;Business/System Analyst;full time;IDR 5,000,000 – IDR 7,000,000 per month;19/06/2024
IT Systems Engineer - Data Center;OTO Group;"Providing, maintaining and developing IT infrastructure, especially related to server hardware & server software to increase the efficiency and effectiveness of company information technology. Maximum age 30 years. Education Bachelor's degree in Informatics Engineering/Information Management/Computer Engineering. Mastering AD Windows 2016-2019. Mastering Messaging and Proxy Server. Mastering Internetworking and TCP/IP Mastering Backup Systems Having experience in Basic Administration SQL 2016/2019 Mastering Anti Virus Systems Mastering Windows Server 2008-2012 and IIS Web Server Understanding Storage Area Network (SAN) Having MCP certification (Microsoft Certified Professional) Having MCSE certification ( Microsoft Certified System Engineer) Understand End Point Security Understand and master Virtualization and VMWARE Experienced in the same field for at least 2 years What's your expected monthly basic salary? Are you available to work outside your usual hours when required? (eg weekends, evenings, public holidays) How many years' experience do you have as an Information Technology Systems Engineer? Are you willing to undergo a pre-employment background check? How many years' experience do you have as a systems engineer? How many years' experience do you have as a SQL Server Integration Services Developer? Role descriptions Salary insights Tools to help you prepare for jobs
";South Jakarta;Network & System Administration;full time;;19/06/2024
Business Process & Systems Officer;PT Cipta Krida Bahari;Analyze the actual suitability of business processes with company strategy, standardization, user needs, and business process documentation. Provide recommendations for business process and system improvements based on data and analysis. Coordinate with Change Management Specialist team, Business System Specialist team, and Integrated Management System team in implementing improvements. Lead or participate in projects related to process and/or system improvements that are more effective and efficient. Provide support for system issues within the company. Minimum Bachelor's degree (S1) in Engineering, preferably Industrial Engineering. Minimum 2 years of experience in the same field. Ability to learn business processes, think regularly, effectively, and efficiently. Understanding of Business Process, Project Management, and System Support. What's your expected monthly basic salary? Do you have experience working within a scrum agile team? How much notice are you required to give your current employer? Are you available to travel for this role when required? Are you willing to undergo a pre-employment background check? How would you rate your English language skills? Which of the following ERP products do you have experience using?;Greater Jakarta;Program & Project Management;Contract;;19/06/2024
Product Manager IoT and Automation Systems;Dexa Group;Create architectural designs for each IT solution to produce robust applications Create and carry out process design, system design, database design for each IT solution Act as a Project Manager in building IT solutions Ensure that the resulting / existing IT solutions run and function well (errors) free) and in accordance with the designation that has been determined. Work together with the Resource Deployment Manager, Developer Team and/or vendor to build/improve the agreed IT solution. Ensure the utilization of existing IT solutions used by all relevant users. Bachelor of Information Engineering or Bachelor of Engineering Electrical / Mechatronics Minimum 5 years experience as Project Manager / Product Manager for IT solution area Digital Transformation, Automation Systems and Internet of Things Familiar with manufacturing business processes Having experience as Project Manager for IT solution area manufacturing is preferred Experienced in implementing Agile Methodology and Scrum Placement: Bintaro, South Tangerang What monthly salary do you want? How many years of work experience do you have as a product manager?;Tangerang;Product Management & Development;full time;;19/06/2024
Senior Systems Analyst;PT Mitra Transaction Indonesia;How many years do you have working experience as a systems analyst?;South Jakarta;Business/System Analyst;Casual;;19/06/2024
System Implementation;PT Global Medika Digitama;"Have good interpersonal communication skills Able to work multitasking & efficient time management Able to provide good customer service Able to prepare documentation & periodic reports regarding information system implementation Understand the flow of information system implementation (HIS/ERP/SAP/WMS) Candidates must have a background Bachelor's degree in Informatics Engineering or similar & understands Laravel (basic), MySQL, CSS & Microsoft Excel Local residents of Ngawi or willing to live in Ngawi for a long time will be a priority Willing to work in a hospital environment & go on business trips outside the city How much notice are you required to give your current employer? Are you available to travel for this role when required? Are you willing to undergo a pre-employment background check? Do you have experience working within a scrum agile team? Are you willing to relocate for this role? Are you available to work outside your usual hours when required? (eg weekends, evenings, public holidays) Role descriptions Salary insights Tools to help you prepare for jobs
";Ngawi Regency;Program & Project Management;full time;IDR 3,500,000 – IDR 4,500,000 per month;19/06/2024
Systems Engineer (RHEL);Anonymous Advertiser;"Install, configure, and maintain Linux servers in a high-availability (HA) environment. Develop and implement backup and disaster recovery strategies. Monitor the health of Linux servers using both automated and manual methods. Design, develop, and implement infrastructure monitoring and reporting tools using scripts such as BASH and PowerShell. Perform server hardware maintenance and upgrades. Manage software repositories and apply software updates. Bachelor's degree in computer science, engineering, or a related field. 7+ years of experience working with Linux operating systems, particularly Red Hat Enterprise Linux (RHEL). Proficiency in automation technologies such as Ansible. Experience with Linux servers in virtualized environments. Strong scripting skills for task automation. Exceptional problem-solving and analytical abilities. Experience in handling PCI-DSS compliance, external and internal audits. What monthly salary do you want? How many years of work experience do you have as a systems engineer? Which Linux distributions below can you use? Role descriptions Salary insights Tools to help you prepare for jobs
";South Jakarta;Network & System Administration;full time;;19/06/2024
Systems Engineer (L1);PT Intikom Berlian Mustika;"Provide first-level support for IT-related issues and incidents. Monitor and maintain server and storage infrastructure, including hardware such as HPE 3PAR, IBM, and similar systems. Install, configure, and troubleshoot hardware and software components. Assist in the setup and deployment of new systems and applications. Perform routine preventive and corrective maintenance on systems. Document and track issues using ticketing systems. Collaborate with senior engineers and other team members to resolve complex issues. Provide technical support and guidance to end-users. Ensure compliance with company policies and industry best practices. Bachelor's degree in Computer Science, Information Technology, or related field. 3-5 years of experience in a similar role. Proven experience in maintaining server and storage infrastructure, including hardware like HPE 3PAR and IBM. Familiarity with various hardware components. Basic knowledge of Windows and Linux operating systems. Strong problem-solving skills and attention to detail. Excellent communication and interpersonal skills. Ability to work independently and as part of a team. What's your expected monthly basic salary? How many years' experience do you have as a systems engineer? How much notice are you required to give your current employer? Role descriptions Salary insights Tools to help you prepare for jobs
";South Jakarta;Help Desk & IT Support;Contract;;19/06/2024
Systems Analyst;PT Lentera Bangsa Benderang;What's your expected monthly basic salary? How many years' experience do you have as a systems analyst? Which of the following programming languages ​​are you experienced in? Which of the following Relational Database Management Systems (RDBMS) are you experienced with?;West Jakarta;Business/System Analyst;Contract;;19/06/2024
Systems Engineer;PT. Berca Hardayaperkasa;"What's your expected monthly basic salary? Role descriptions Salary insights Tools to help you prepare for jobs
";Central Jakarta;Network & System Administration;full time;;19/06/2024
IT System Development Assistant Manager;PT. Platinum Ceramics Industry;"Bachelor degree in Information Technology/ Computer Science or equivalent Having at least 3 years of working experience in the related field Preferably have 3 years experience specialized in IT Systems in back-end or front-end Familiar with Vue JavaScript, Laravel framework and SQL Willing to be assigned in Head Office Surabaya What's your expected monthly basic salary? How many years' experience do you have as a Systems Developer? Which of the following programming languages ​​are you experienced in? How many years' experience do you have using SQL queries? Which of the following Relational Database Management Systems (RDBMS) are you experienced with? Role descriptions Salary insights Tools to help you prepare for jobs
";Surabaya;Engineering - Software;full time;;19/06/2024
In-house System Development Officer;PT Mitsui Leasing Capital Indonesia;"Creating programs (coding) in accordance with programming requests and by paying attention to the flow and rules of programming. Compile the system that has passed the test phase. Create and develop all MLCI internal applications. Make functional improvements to the application based on user error findings. Make improvements both in terms of functional and technical to improve application performance. Configuring the application on the development & testing server. Collaborate with System Development Support in the process of creating testing scenarios and technical documentation. Assisted in the coordination process with vendors regarding the required system specifications and reviewed the results in accordance with these specifications. Make daily work plans and realization reports. Bachelors degree, majoring in Information Technology Minimum 1 year as a Programmer Age max 28 years old .NET Framework, Vue.js Strong command of C# or VB.NET Good knowledge of SQL Query, API, JSON Familiar with microservice architecture and reporting tool SSRS , Telerik Have a good analytical and Logical Thinking, communication skills, problem solving Role descriptions Salary insights Tools to help you prepare for jobs
";Central Jakarta;Developer/Programmer;full time;;19/06/2024
Systems Analyst;PT Mulia Cemerlang Abadi Multi Industry;;Sukabumi;Business/System Analyst;full time;;19/06/2024
Systems Analyst;KSP Veranda Dana;What monthly salary do you want?;South Jakarta;Business/System Analyst;full time;IDR 5,000,000 – IDR 6,000,000 per month;19/06/2024
IT Systems Analyst;PT GLOBAL LOYALTY INDONESIA;"Bachelor degree from Information Systems or equivalent Experience minimum 2 years in Product Development or IT Business Analyst or IT System Analyst Skill Unified Modeling Language (UML) Skill PL/SQL Query, presentation, Communication, negotiation. Experience developing system design/ functionality document, use case, flow process/ activity diagram Knowledge relational and class diagram Problem solving, analytical and critical thinking, innovate & responsibility Experience with transactional projects How much monthly salary do you want? How many years' experience do you have as an Information Technology Systems Analyst? Role descriptions Salary insights Tools to help you prepare for jobs
";Tangerang;Business/System Analyst;Contract;;19/06/2024
Systems Development;PT Sriboga Marugame Indonesia;"Assist System Application, ERP, Automation. Data warehouse, and System Interface. Lead Internal IT Project. Develop necessary software. Manage running / existing software. Min. Bachelor's Degree in Information Systems, IT, etc. At least 2 years experience in leading team. Preferably Experience in retail/ F&B industry Preferably Experience in ERP system Preferably Experience in developing B1 Preferably Experience as IT Project Lead Experience in Developing full product (desktop, web) Experience at least 1 life cycle project development / implementation Understand IT SDLC / Project method (waterfall , agile) Skills: Desktop Programming, Web Front-end & Back-end, Database & BI, and Project management. Understand design, development (MSQL, Azure DB, My SQL) Programing (desktop, web, mobile), front-end/back-end, visual studio (VB.net, Asp.net. Java, Php), Android studio (java , Kotlin). Which programming languages ​​below can you use? How do you rate your English skills? Role descriptions Salary insights Tools to help you prepare for jobs
";South Jakarta;Developer/Programmer;full time;;19/06/2024
IT System Support (JS - IT SS);OTO Group;"Identify, install, analyze and troubleshoot IT systems and infrastructure Provide solutions and resolve problems that arise in terms of applications, software and hardware that occur on the user's computer or server Provide IT knowledge training to users Maximum age 30 years D3 education/ S1 study program Informatics Engineering/Information Management/Computer Engineering Mastering Windows 2012-2019 Server & Active Directory Mastering Windows 10-11 & Windows Powershell Mastering Internetworking, TCP/IP, LAN, WAN Understanding and Understanding SDWAN & WAN Optimizer Concepts Mastering Endpoint Security & Antivirus System Mastering Endpoint Management & Mobile Device Management Mastering Experienced with NAS, Backup & Replication Understands and understands Virtualization and Linux Has experience in Basic Administration SQL DB 2012-2016 Experienced in the same field min. 3 years Willing to be assigned and placed outside the area Willing to work Shifting Basic Salary Attendance & Position Allowance Health Insurance BPJS Employment and Health THR and Bonus* Career Path What's your expected monthly basic salary? How many years' experience do you have as an Information Technology Systems Support Role? How much notice are you required to give your current employer? Are you available to travel for this role when required? Are you willing to undergo a pre-employment background check? Role descriptions Salary insights Tools to help you prepare for jobs
";Greater Jakarta;Help Desk & IT Support;full time;;19/06/2024
IT Systems Consultant;PT Plaza Auto Prima;"Gather and analyze business requirements from various stakeholders, including management, users and development teams to design and describe clear and comprehensive system specifications Establish effective communication with the development team to ensure proper understanding of business requirements and design them Plan and manage the software development cycle , including gathering design analysis requirements, testing and launching as well as monitoring project progress Carrying out trials and verifying software development results Education Bachelor's Degree in Information Systems/Information Engineering/Computer Engineering with a minimum GPA of 3.00 Have a minimum of 5 years work experience related to business analysis (IT) Experience in the same position from the automotive industry is preferred Experience related to implementing and using Microsoft Dynamics 365 CRM & Finance (ERP) Mastering Business Analysis, Data Analysis, User Experience, Accounting, Finance, Sales and Marketing and Requirements Gathering Maximum age 30 years Willing placement in South Jakarta. Role descriptions Salary insights Tools to help you prepare for jobs
";South Jakarta;Business/System Analyst;full time;;19/06/2024
IT System Requirement Analyst (JS - IT SRA);OTO Group;"Analyze company or user needs and create a system design that is relevant to those needs. Maximum age 32 years Minimum education Bachelor's degree in Informatics Engineering / Informatics Management / Computer Engineering Mastering basic Transact SQL script programming 2008 / 2012 Understanding Visual Studio .Net Programming; Understand the RDBMS (Relational Data Base Management System) concept Understand the process of identifying user needs Experienced in creating functional specifications Understand good testing methods for User Acceptance Test (UAT) Understand the impact analysis of existing systems on user needs Experience as a business analyst / system analyst at least 1 -2 years Career Path Basic Salary Attendance allowance BPJS Health Insurance Employment and health THR and Bonus What's your expected monthly basic salary? How many years' experience do you have as a Requirements Analyst? Which of the following languages ​​are you fluent in? How much notice are you required to give your current employer? Role descriptions Salary insights Tools to help you prepare for jobs
";South Jakarta;Business/System Analyst;full time;;19/06/2024
Systems Analyst;PT DIFINI TECHNOLOGY;Determine, design and analyze requirements from the business and system side. Assist in the system creation process according to client and development team needs. Assist in the SIT, UAT process and analyze if errors are found from the business or system side. Assist the Team if there are needs related to the development process. Understand logic and flow in creating a system. Understand basic queries and debugging. Can communicate well and fluently. Have good logic and reasoning. Can work in team.;Greater Jakarta;Business/System Analyst;full time;IDR 5,000,000 – IDR 7,000,000 per month;19/06/2024
HR Systems Consultant;PT System Ever Indonesia;"Responsible for designing, analyzing, updating payroll Management & Calculation also updating regulations Responsible for requirements gathering, business process analysis and the synthesis of information gathered into a Business Application Responsible for analyzing and designing the improvements and upgrading the business process into a Business Application Software Design Design, develop, test and implement software solutions to meet the requirements Responsible to implement software as user's requirements, UAT & go live system, and maintenance Proactive maintenance and corrective action as Service Level Agreement (SLA) Work with sales do to product demonstration and Proof of Concept to clients Responsible for researching, evaluating and integrating new technologies into environments Age Max 35 Years Old Candidate must possess at least Bachelor's Degree Any discipline At least 3 Years of working experience in the related field Able to communicate with English both oral & written Having experiences in ERP (HR) Software Implementation : Organization, Employees, Time Management, Payroll, Reimbursement, Recruitment, Performance & Talent Management Strong Analytical Thinking Very good communication with clients and teamwork Fast learner and able to work with minimum guidance and supervision Good Presentation & able to convince clients Manage time and coordinate with clients and teamwork in tight schedule Experience in ERP/HR Data Migration & Do Testing SIT/UAT Experience in Project Implementation Proficiency in Microsoft Office and web presentation tools Having Good Communications Skills What monthly salary do you want ? How many years' experience do you have as a Systems Consultant? Are you willing to travel for this job when needed? Which languages ​​below do you speak fluently? Role descriptions Salary insights Tools to help you prepare for jobs
";South Jakarta;Network & System Administration;full time;IDR 17,000,000 – IDR 25,000,000 per month;19/06/2024
STAFF SYSTEM & PROCEDURE;PT Sanbe Farma;"Ensure that the system/application/program used is the most updated and compatible application, in accordance with the Company's needs. Ensure that the system implemented is able to support and support the Company's performance. Ensure that data input to the system is distributed and maintained properly. Minimum education: S1 majoring in Computer/Information Accounting (GPA: Minimum 3.00). Fresh Graduate/Minimum have 1-2 years work experience in the same field. Proficient in operating Ms. Office (Word & Excel) well. Understand and be able to operate Basic SQL/MS. Understand and able Ms. Visio is preferred. Mastering English is preferred. Able to work with a team, able to learn quickly, able to communicate and adapt well. Honest, responsible, quick to learn new things and results oriented. Placement in Bandung. Working hours are Monday to Saturday. What's your expected monthly basic salary? Are you available to work outside your usual hours when required? (eg weekends, evenings, public holidays) Which of the following languages ​​are you fluent in? Are you willing to undergo a pre-employment background check? Role descriptions Salary insights Tools to help you prepare for jobs
";Bandung;Team Leader;Contract;;19/06/2024
System Administrator;PT Graha Mitra Teguh;How many years' experience do you have as a Systems Administrator? Which of the following Linux distributions are you familiar with?;West Jakarta;Network & System Administration;full time;IDR 7,000,000 – IDR 8,000,000 per month;19/06/2024
SYSTEM SUPPORT;PT Asuransi Harta Aman Pratama Tbk;"
Role descriptions Salary insights Tools to help you prepare for jobs
";Greater Jakarta;Network & System Administration;full time;;19/06/2024
INFORMATION SYSTEM SUPPORT;Anonymous Advertiser;"Performs analysis and makes recommendations in areas that require a high level of technical competency Design data bases and dictionary criteria Performance a variety of complex programming tasks, such as designing, documenting and coding program logic Provides technical training, guidance and resource support for end users and department staff Provides application support and enhancements to existing applications. Define system requirements, priorities and variable alternatives. Coordinates the efforts of staff to locate, assess, install, test and maintain computer software systems. Coordinates conversions and upgrades to vendor systems. Performance as a project lead and directs system analyst. Provides leadership and coordination of project assigned to system analyst. In addition to all responsibilities of the system analyst position, assumes greater leadership role, utilizing broader knowledge and high level technical skills. Assists in developing user documentation and departmental policies and procedures that impact the use of application system Continues to develop professional skills in information systems and health care fields through trade magazines, manuals, seminars and courses. Assist syn training analyst staff. Perform complex senior system analyst duties on a regular and continuous basis. Performs other related duties as assigned. Minimum education Bachelor's Degree in Computer Science, Systems/Industrial Engineering, Business Administration or related field and two years of post-graduate studies. Minimum 2 year(s) experience in system analysis and/or programming required with project management or leadership responsibilities in manufacturing industries or trade companies. Must have the ability to exercise independent judgment in planning, organizing and performing system analyst tasks. Some independent judgment is required in setting priorities of tasks among multiple assigned projects. Must have ability to communicate, motivate and organize projects among a board spectrum of personal throughout the network frequently under deadline pressure Knowledge information systems, including some familiarity with financial/business applications, clinical applications, managed care applications, or al, sufficient to use and supports on-line, interactive applications based on equipment ranging from large scale minicomputers to microcomputers and to plan and perform medium to large scale computer projects. Having good knowledge about Structure Query Language (SQL) Developing or customizing module on ERP application (Preferably ERP Microsoft Dynamic Navision) Applicant must be willing to work in Central Jakarta. How many years' experience do you have as an Operations Support Role? Role descriptions Salary insights Tools to help you prepare for jobs
";Central Jakarta;Network & System Administration;full time;;19/06/2024
System Operations Officer;PT. Datascript;"Maintaining ERP and internal applications used by the company Providing support and analyzing system/application problems faced by users, both in terms of application bugs and human errors or other problems, as well as carrying out analysis to improve the system/application so that the same incident does not happen again Analyzing Business processes and systems for improvement purposes and creating programs/applications Carrying out routine operational maintenance tasks for business applications on a daily, weekly, monthly and annual basis Creating designs/flowcharts, both using Visio and UML Tools Collaborating with the developer team, vendor team and related teams in making applications/programs and ensuring they are in accordance with user needs and requests Carrying out EUT (End User Training) and UAT (User Acceptance Test) Assisting and supervising the implementation of application software purchased from vendors Providing training and support to users as well as carrying out troubleshooting related to system/application problems used by users Recording all requests, user complaints and problems handled by IT Operations in the Helpdesk system. Maximum age 30 years. Minimum education: Bachelor's degree, majoring in Information Systems, Information Management, Informatics Engineering. Having experience using ERP Microsoft Dynamics NAV or ERP is preferred. others Have at least 2 years experience as a business analyst/system analyst/functional/application or system consultant Mastering design creation using UML, flowcharts, and making system/application design mock ups Having an understanding of database structure and mastering SQL server query analyzer Good understanding of flow SDLC from detailed requirements to system implementation and maintenance. Mastering and understanding the business flow of Sales Cycle, Purchase, Warehouse, Accounting & Finance, e-Commerce processes. Having good communication and presentation skills and being used to conducting application usage training for users. Able to work individually. and teams with deadlines Updates on developments in information. How much monthly salary do you want? Are you willing to undergo a pre-employment background check? Which ERP products below can you use? Role descriptions Salary insights Tools to help you prepare for jobs
";Central Jakarta;Business/System Analyst;full time;;19/06/2024
IT Systems Testing Engineer;BYD Indonesia;"Implement system enhancements and process automation to improve efficiency and streamline operations within the BYD Headquarters Management System platform Lead and execute IT projects related to the Pre-Sales System, ensuring timely delivery within budget and scope. Conduct feasibility studies and gather user requirements to inform project plans and system enhancements. Participate in user acceptance testing, system integration testing, and deployment planning to ensure successful project implementation. Provide first-level support for functional issues, analyze system problems, and propose solutions or countermeasures. Liaise with vendors to negotiate costs, manage project progress, and ensure timely delivery of services. Develop training materials and conduct training sessions for users on new system features and functionalities. Ensure that system enhancements and processes comply with relevant regulations and industry standards. Bachelor's degree in Computer Science or a related field. At least have 3 years of software testing experience or 2 years of app testing experience. Good Communication skills in English, Indonesian (written and verbal). Mandarin is plus Proficient in at least one scripting or programming language (eg, Python) with the ability to independently develop UI and API automation scripts. Expertise in using common testing tools like JMeter, Fiddler, Postman, or app testing tools like DDMS, Monkey, Fiddler. Familiarity with MySQL database and proficiency in SQL scripting. Knowledge of Unix/Linux operating systems, including proficiency in basic Linux commands and shell scripting. Strong analytical and problem-solving skills with the ability to troubleshoot complex technical issues. What's your expected monthly basic salary? How many years' experience do you have as a Testing Engineer? How would you rate your English language skills? Role descriptions Salary insights Tools to help you prepare for jobs
";South Jakarta;Engineering - Network;full time;;19/06/2024
Systems Analyst;PT Mandiri Utama Finance;Java Springboot Kotlin (Android) NodeJS RDBMS (Oracle, Postgre, MariaDB, MySQL) NoSQL (MongoDB) Event Driven Architecture (Kafka, MQ) PHP CI HTML/CSS/Javascript JQuery Pentaho What's your expected monthly basic salary? How many years' experience do you have as a systems analyst? Have you worked in a role which requires a sound understanding of the software development lifecycle? Which of the following Microsoft Office products are you experienced with?;Greater Jakarta;Business/System Analyst;full time;;19/06/2024
FINANCE SYSTEM DEVELOPMENT OFFICER;PT Rodamas;"Have a bachelor's degree in informatics engineering / information systems / IT / equivalent. Have a minimum of 3 years of experience working as a finance system development. Have knowledge and understanding regarding distribution management and distributor financing. Familiar with using the SAP system. Have good skills in data management. Have good analytical skills. Perform monitoring the use of SFA & Back-end by Area. Conduct training on the use of the new system. Calculating Release Purchase Orders (PO) and Monitoring DF, Batuumbu and Bank Guarantee Balances. Perform analysis and adjustments to the Moving Average Product (MAP). Carrying out testing on newly developed systems. Troubleshoot issues on SFA, DMS and SAP systems. What's your expected monthly basic salary? How many years' experience do you have as a System Development Officer? Role descriptions Salary insights Tools to help you prepare for jobs
";Greater Jakarta;Testing & Quality Assurance;full time;;19/06/2024
Cloud Engineer;PT Visionet Data Internasional;"Managing a system to meet SLA & SLO Meeting with customer management to review the operation objectives and achievements to understand how the cloud platform is running. Monitoring and managing customer's workload. Evaluating and maintaining current cloud system Managing a security and maintaining privacy in the cloud. Diploma or bachelor degree in Computer Science, Engineering or Information Technology or a related field preferred Minimum 3 years experience in IT Infrastructure Engineer. Preferably specialized in System Administrator or equivalent. Proven understanding and experiences in Server and Storage Technology Experience on OS Layer (Windows Server) Deep knowledge about Active Directory, Ms. Exchange, LDAP, Ms. Azure, Office 365 Having certification from Windows and or related to System Admin and Cloud fields. Solid understanding of networking concepts such as DNS, TCP/IP, HTTP, and VPC (Virtual Private Cloud). Have experience Monitoring System, either on Zabbix, Grafana, Manage Engine or Nagios Preferred have understanding about Virtualization (VMware / HyperV development and operation), Cloud environment (AWS & GCP), Backup technology (implementation and management). Understanding / Experienced with RedHat, Container / Docker / Kubernetes Concepts is a plus. Knowledge of security concepts such as firewall, VPN, identity and access management. Excellent communication skills Willing to be placed at Lippo Karawaci, Tangerang and Jakarta. What monthly salary do you want? How many years' experience do you have as a Cloud Engineer? How many years' experience do you have as a Systems Administrator? How many years' experience do you have as a Windows Server Engineer? Which Linux distributions below can you use? How many years' experience do you have as an Active Directory Engineer? How many years' experience do you have as an Active Directory Designer? How many years' experience do you have as an AWS Cloud Engineer? Role descriptions Salary insights Tools to help you prepare for jobs
";Tangerang;Network & System Administration;full time;;19/06/2024
SYSTEM & INFORMATION SECURITY ANALYST;PT Graha Layar Prima;"Manage Data Centers and availability Manage Active Directory (user, replication) Manage Domain Controller (servers) Manage Server Storage Space (monitor, analyze, report, suggest) Manage Server OS Windows & Linux (maintain, analyze, report, suggest) Manage Cloud Server (maintain, analyze, report, suggest) Create & maintain System Documentation Manage Anti-Virus Server (maintain, analyze, report, suggest) Manage data center/server related projects Provide Level 2 Support Bachelor's degree in Computer Science, Information Technology, or related fields. 3-5 years of experience in a similar role. Proven experience in maintaining server and storage infrastructure, including hardware like HPE, DELL, NETAPP Advanced knowledge of Windows and Linux operating systems (Redhat, Debian, Ubuntu). Understanding Windows Server, Redhat, Debian, Ubuntu Server Understanding Domain Controller Monitoring All Server Resources, Ram Consumption, and Storage Monitoring and maintaining antivirus server Create / Edit policy, in Windows Server Active Directory Familiar with various hardware components. Strong problem-solving skills and attention to detail. Ability to work independently and as part of a team What's your expected monthly basic salary? Role descriptions Salary insights Tools to help you prepare for jobs
";South Jakarta;Security;full time;;19/06/2024
Systems Engineer;PT Artajasa Electronic Payments;"Design, install, configure, and maintain servers and network systems. Monitor system performance and ensure the availability and reliability of IT infrastructure/Application. Troubleshoot and resolve hardware, software, and network issues in a timely manner. Implement and manage security measures to protect data and systems. Perform system backups and recovery operations to ensure data integrity. Collaborate with other IT team members to design and implement new solutions. Maintain documentation of systems, configurations, and procedures. Ensure compliance with company policies and industry standards. Provide technical support to internal users and address their IT-related queries and issues. Stay up-to-date with the latest technologies and industry trends to recommend and implement improvements. Bachelor's degree in Computer Science, Information Technology, or a related field. Proven experience as a Systems Engineer or in a similar role, preferably within the IT payment or financial services industry. Strong knowledge of server and network infrastructure, including Windows/Linux servers, virtualization (VMware, Hyper-V), and cloud platforms (AWS, Azure). Experience with network administration, including routers, switches, firewalls, and VPN. Proficiency in scripting languages ​​(eg, PowerShell, Bash) for automation. Solid understanding of cybersecurity principles and best practices. Excellent problem-solving skills and attention to detail. Strong communication and interpersonal skills. Ability to work independently and manage multiple tasks simultaneously. Relevant certifications (eg, MCSE, CCNA, RHCE) are a plus. Competitive salary Performance Bonuses Comprehensive benefits package, including private health insurance BPJS Health BPJS Employment Free Parking Opportunities for professional growth and development. A supportive and collaborative work environment. We have so many employee activities. What monthly salary do you want? Role descriptions Salary insights Tools to help you prepare for jobs
";South Tangerang;Network & System Administration;full time;;19/06/2024
Systems Analyst (WFO BANDUNG);PT Infokes Indonesia (Bandung);What's your expected monthly basic salary? How many years' experience do you have as a Product Executive? Are you available to work outside your usual hours when required? (eg weekends, evenings, public holidays) Have you worked in a role which requires a sound understanding of the software development lifecycle? How many years' experience do you have as a Product Officer?;Bandung;Business/System Analyst;full time;IDR 5,000,000 – IDR 7,000,000 per month;19/06/2024
